parcel_ID,weight (kg),volume (m^3)
1,253.9,0.741
2,296.9,0.477
3,151.4,0.674
4,213.3,0.594
5,213.2,0.543
6,199.4,0.454
7,250.5,0.799
8,254.8,0.596
9,191.2,0.634
10,206.8,0.428
11,180,0.668
12,163,0.653
13,129.4,0.86
14,131.4,0.658
15,140.6,0.483
16,301.3,0.789
17,152.4,0.507
18,294.8,0.614
19,154.7,0.606
20,161.9,0.536
21,154,0.567
22,155.9,0.579
23,194.4,0.781
24,174.3,0.661
25,247.7,0.788
26,195.5,0.773
27,78.6,0.757
28,186.3,0.628
29,170.1,0.37
30,280.6,0.857
31,136.2,0.702
32,152.1,0.349
33,179.2,0.813
34,221.9,0.848
35,246.3,0.721
36,268.2,0.532
37,281.3,0.355
38,140.4,0.767
39,111.8,0.689
40,236.4,0.451
41,215.7,0.57
42,86.7,0.794
43,228.6,0.637
44,173.6,0.704
45,198.2,0.736
46,222.4,0.652
47,200.8,0.72
48,279.6,0.634
49,270,0.695
50,166.7,0.7
51,190.7,0.483
52,271.6,0.747
53,82.6,0.2
54,256.2,0.551
55,135.4,0.333
56,188.6,0.582
57,314.9,0.479
58,143.3,0.58
59,196.6,0.575
60,279.6,0.755
61,243.3,0.635
62,148,0.739
63,173.6,0.6
64,193,0.646
65,187.9,0.883
66,82.3,0.831
67,224.3,0.819
68,278.7,0.464
69,204.9,0.777
70,275,0.749
71,95.8,0.577
72,258.5,0.77
73,243.7,0.33
74,219.4,0.787
75,329.7,1.061
76,224.9,0.903
77,252,0.49
78,347,0.289
79,181.3,0.748
80,184.6,0.76
81,335.1,0.862
82,237,0.947
83,127.3,0.698
84,255.7,0.355
85,205.4,0.609
86,295.2,0.577
87,205,0.851
88,140.2,0.498
89,227,0.608
90,134.4,0.499
91,231,0.525
92,184.4,0.657
93,130.5,0.259
94,191.4,0.805
95,180.5,0.531
96,316.2,0.823
97,144.6,0.627
98,293.4,0.691
99,236.2,0.686
100,104.9,0.872
